UserId,Lpid
305,1112
310,1112
361,1112
394,1112
418,1112
435,1112
442,1112
446,1112
451,1112
478,1112
9,1113
25,1113
31,1113
62,1113
103,1113
266,1113
305,1113
435,1113
446,1113
450,1113
462,1113
463,1113
322,1114
402,1114
417,1114
430,1114
46,1115
81,1115
217,1115
361,1115
362,1115
394,1115
432,1115
451,1115
68,1116
161,1116
167,1116
373,1116
399,1116
432,1116
55,1117
304,1117
315,1117
67,1118
81,1118
103,1118
161,1118
167,1118
307,1118
308,1118
373,1118
389,1118
418,1118
443,1118
444,1118
467,1118
49,1119
399,1119
471,1119
46,1120
67,1120
81,1120
443,1120
451,1120
465,1120
400,1122
61,1124
268,1124
86,1127
319,1127
376,1127
377,1127
401,1127
413,1127
421,1127
428,1127
459,1127
462,1127
463,1127
532,1127
709,1127
715,1127
722,1127
724,1127
30,1128
286,1128
357,1128
363,1128
379,1128
383,1128
403,1128
419,1128
420,1128
425,1128
532,1128
406,1129
408,1129
409,1129
13,1130
48,1130
216,1130
184,1132
188,1132
220,1132
222,1132
323,1132
352,1132
356,1132
370,1132
392,1132
586,1132
588,1132
589,1132
590,1132
591,1132
594,1132
595,1132
596,1132
597,1132
639,1132
