UserId,Lpid
9,1073
22,1073
32,1073
35,1073
38,1073
50,1073
56,1073
61,1073
66,1073
85,1073
86,1073
90,1073
91,1073
105,1073
106,1073
108,1073
109,1073
114,1073
118,1073
124,1073
126,1073
129,1073
132,1073
135,1073
138,1073
140,1073
143,1073
145,1073
148,1073
149,1073
151,1073
152,1073
187,1073
194,1073
195,1073
196,1073
197,1073
198,1073
208,1073
209,1073
224,1073
232,1073
249,1073
264,1073
268,1073
269,1073
271,1073
273,1073
275,1073
277,1073
285,1073
287,1073
288,1073
291,1073
303,1073
319,1073
328,1073
330,1073
347,1073
348,1073
366,1073
368,1073
374,1073
376,1073
377,1073
378,1073
381,1073
391,1073
395,1073
397,1073
411,1073
419,1073
421,1073
422,1073
423,1073
427,1073
429,1073
433,1073
434,1073
440,1073
445,1073
452,1073
456,1073
460,1073
464,1073
466,1073
469,1073
471,1073
475,1073
479,1073
480,1073
481,1073
482,1073
485,1073
486,1073
2,1074
11,1074
12,1074
13,1074
15,1074
20,1074
22,1074
27,1074
29,1074
31,1074
35,1074
37,1074
38,1074
40,1074
42,1074
43,1074
44,1074
51,1074
53,1074
55,1074
56,1074
57,1074
59,1074
61,1074
62,1074
63,1074
69,1074
70,1074
75,1074
78,1074
80,1074
84,1074
86,1074
87,1074
89,1074
90,1074
96,1074
98,1074
99,1074
103,1074
115,1074
116,1074
117,1074
121,1074
124,1074
128,1074
130,1074
131,1074
133,1074
136,1074
137,1074
141,1074
144,1074
151,1074
153,1074
155,1074
156,1074
157,1074
158,1074
164,1074
165,1074
169,1074
170,1074
171,1074
175,1074
176,1074
178,1074
179,1074
191,1074
196,1074
200,1074
201,1074
203,1074
204,1074
205,1074
206,1074
212,1074
213,1074
217,1074
220,1074
222,1074
223,1074
231,1074
232,1074
233,1074
244,1074
245,1074
247,1074
252,1074
253,1074
255,1074
271,1074
273,1074
276,1074
277,1074
281,1074
291,1074
297,1074
311,1074
313,1074
319,1074
326,1074
327,1074
334,1074
338,1074
350,1074
358,1074
388,1074
390,1074
391,1074
392,1074
411,1074
423,1074
427,1074
438,1074
439,1074
453,1074
454,1074
459,1074
461,1074
464,1074
466,1074
468,1074
469,1074
470,1074
472,1074
473,1074
477,1074
478,1074
483,1074
484,1074
9,1075
20,1075
63,1075
73,1075
92,1075
115,1075
220,1075
247,1075
276,1075
279,1075
281,1075
324,1075
340,1075
342,1075
350,1075
411,1075
447,1075
32,1076
40,1076
45,1076
47,1076
65,1076
83,1076
93,1076
94,1076
95,1076
96,1076
97,1076
98,1076
100,1076
101,1076
102,1076
104,1076
116,1076
117,1076
120,1076
139,1076
160,1076
174,1076
188,1076
189,1076
222,1076
226,1076
228,1076
244,1076
245,1076
248,1076
256,1076
270,1076
272,1076
307,1076
308,1076
316,1076
320,1076
441,1076
476,1076
23,1077
30,1077
76,1077
88,1077
112,1077
114,1077
123,1077
132,1077
140,1077
145,1077
148,1077
149,1077
