UserId,Lpid
2,52
2,85
2,244
2,254
2,472
16,305
16,480
16,481
19,146
19,336
19,420
19,431
19,436
19,453
19,470
19,486
20,459
21,2
21,336
21,357
21,383
21,431
21,436
21,453
21,470
21,486
43,452
43,472
44,38
51,411
51,438
51,439
51,459
51,470
51,472
52,456
59,72
69,122
69,142
69,163
69,428
69,433
69,436
69,450
69,452
69,453
69,464
69,474
69,480
114,305
114,321
114,324
114,326
114,389
114,400
114,452
115,86
115,106
115,192
115,452
117,433
118,400
124,480
129,485
250,440
